parent_code,item_code,item_name,has_children,display_level,source_note
SEEE,SEEE02,,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAEC,SEEEC,Information technology commodities,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAF1,SEFV,Food away from home,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAG,SEGA,Tobacco and smoking products,0,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAG1,SEGB,Personal care products,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAG1,SEGC,Personal care services,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAGS,SEGD,Miscellaneous personal services,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAGC,SEGE,Miscellaneous personal goods,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH1,SEHA,Rent of primary residence,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH1,SEHB,Lodging away from home,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH1,SEHC,Owners' equivalent rent of residences,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SEHC,SEHC01,,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH1,SEHD,Tenants' and household insurance,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH2,SEHG,Water and sewer and trash collection services,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH31,SEHH,Window and floor coverings and other linens,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH31,SEHJ,Furniture and bedding,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH31,SEHK,Appliances,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH31,SEHL,Other household equipment and furnishings,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH31,SEHM,Tools hardware outdoor equipment and supplies,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH31,SEHN,Housekeeping supplies,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH3,SEHP,Household operations,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAM2,SEMC,Professional services,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAM2,SEMD,Hospital and related services,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SEMD,SEMD01,,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAM2,SEME,Health insurance,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAM1,SEMF,Medicinal drugs,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAM1,SEMG,Medical equipment and supplies,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAR,SERA,Video and audio,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SERA,SERA01,Televisions,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERA,SERA02,Cable satellite and live streaming television service,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERA,SERA03,Other video equipment,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERA,SERA04,Purchase subscription and rental of video,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERA,SERA05,Audio equipment,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERA,SERA06,Recorded music and music subscriptions,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAR,SERAC,Video and audio products,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAR,SERAS,Video and audio services,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAR,SERB,Pets pet products and services,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SERB,SERB01,Pets and pet products,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERB,SERB02,Pet services including veterinary,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAR,SERC,Sporting goods,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SERC,SERC01,Sports vehicles including bicycles,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERC,SERC02,Sports equipment,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAR,SERD,Photography,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SERD,SERD01,Photographic equipment and supplies,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERD,SERD02,Photographers and photo processing,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAR,SERE,Other recreational goods,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SERE,SERE01,Toys,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERE,SERE02,Sewing machines fabric and supplies,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERE,SERE03,Music instruments and accessories,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAR,SERF,Other recreation services,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SERF,SERF01,Club membership for shopping clubs fraternal or other organizations or participant sports fees,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERF,SERF02,Admissions,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERF,SERF03,Fees for lessons or instructions,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAR,SERG,Recreational reading materials,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SERG,SERG01,Newspapers and magazines,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SERG,SERG02,Recreational books,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAT1,SETA,New and used motor vehicles,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAT1,SETB,Motor fuel,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAT1,SETC,Motor vehicle parts and equipment,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAT1,SETD,Motor vehicle maintenance and repair,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAT1,SETE,Motor vehicle insurance,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAT1,SETF,Motor vehicle fees,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAT,SETG,Public transportation,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SETG,SETG01,Airline fares,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SETG,SETG02,Other intercity transportation,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SETG,SETG03,Intracity transportation,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
